id,name,license_plate,status,status
D_140,Driver_71,ABC932XYZ,available,available
D_141,Driver_3,ABC961XYZ,off-duty,off-duty
D_142,Driver_84,ABC550XYZ,available,available
D_143,Driver_23,ABC950XYZ,off-duty,off-duty
D_144,Driver_7,ABC858XYZ,off-duty,off-duty
D_145,Driver_66,ABC606XYZ,off-duty,off-duty
D_146,Driver_62,ABC476XYZ,available,available
D_147,Driver_32,ABC462XYZ,on-duty,on-duty
D_148,Driver_17,ABC434XYZ,off-duty,off-duty
D_149,Driver_85,ABC433XYZ,available,available
D_150,Driver_53,ABC923XYZ,on-duty,on-duty
D_151,Driver_3,ABC864XYZ,available,available
D_152,Driver_77,ABC327XYZ,available,available
D_153,Driver_8,ABC298XYZ,off-duty,off-duty
D_154,Driver_45,ABC927XYZ,off-duty,off-duty
D_155,Driver_85,ABC508XYZ,on-duty,on-duty
D_156,Driver_18,ABC783XYZ,on-duty,on-duty
D_157,Driver_12,ABC549XYZ,available,available
D_158,Driver_46,ABC247XYZ,available,available
D_159,Driver_80,ABC802XYZ,on-duty,on-duty
D_160,Driver_92,ABC920XYZ,available,available
D_161,Driver_95,ABC424XYZ,available,available
D_162,Driver_78,ABC868XYZ,off-duty,off-duty
D_163,Driver_99,ABC886XYZ,available,available
D_164,Driver_39,ABC498XYZ,available,available
D_165,Driver_85,ABC163XYZ,on-duty,on-duty
D_166,Driver_31,ABC990XYZ,available,available
D_167,Driver_24,ABC969XYZ,off-duty,off-duty
D_168,Driver_29,ABC126XYZ,on-duty,on-duty
D_169,Driver_65,ABC844XYZ,off-duty,off-duty
D_170,Driver_55,ABC787XYZ,on-duty,on-duty
D_171,Driver_16,ABC801XYZ,on-duty,on-duty
D_172,Driver_22,ABC507XYZ,available,available
D_173,Driver_86,ABC859XYZ,off-duty,off-duty
D_174,Driver_38,ABC271XYZ,available,available
D_175,Driver_59,ABC831XYZ,on-duty,on-duty
D_176,Driver_60,ABC980XYZ,available,available
D_177,Driver_95,ABC245XYZ,on-duty,on-duty
D_178,Driver_80,ABC279XYZ,off-duty,off-duty
D_179,Driver_9,ABC702XYZ,on-duty,on-duty
D_180,Driver_11,ABC862XYZ,available,available
D_181,Driver_85,ABC497XYZ,off-duty,off-duty
D_182,Driver_64,ABC602XYZ,on-duty,on-duty
D_183,Driver_98,ABC455XYZ,available,available
D_184,Driver_84,ABC590XYZ,available,available
D_185,Driver_24,ABC117XYZ,on-duty,on-duty
D_186,Driver_71,ABC899XYZ,on-duty,on-duty
D_187,Driver_8,ABC848XYZ,available,available
D_188,Driver_100,ABC412XYZ,off-duty,off-duty
D_189,Driver_65,ABC966XYZ,on-duty,on-duty
D_190,Driver_14,ABC111XYZ,available,available
D_191,Driver_55,ABC467XYZ,off-duty,off-duty
D_192,Driver_24,ABC599XYZ,available,available
D_193,Driver_83,ABC991XYZ,on-duty,on-duty
D_194,Driver_88,ABC433XYZ,off-duty,off-duty
D_195,Driver_38,ABC685XYZ,available,available
D_196,Driver_19,ABC169XYZ,off-duty,off-duty
D_197,Driver_47,ABC409XYZ,off-duty,off-duty
D_198,Driver_83,ABC382XYZ,available,available
D_199,Driver_23,ABC234XYZ,on-duty,on-duty
D_200,Driver_74,ABC676XYZ,off-duty,off-duty
D_201,Driver_73,ABC174XYZ,available,available
D_202,Driver_37,ABC378XYZ,available,available
D_203,Driver_63,ABC374XYZ,available,available
D_204,Driver_64,ABC265XYZ,available,available
D_205,Driver_83,ABC249XYZ,available,available
D_206,Driver_44,ABC370XYZ,available,available
D_207,Driver_66,ABC123XYZ,off-duty,off-duty
D_208,Driver_8,ABC271XYZ,on-duty,on-duty
D_209,Driver_71,ABC103XYZ,available,available
D_210,Driver_59,ABC362XYZ,available,available
D_211,Driver_19,ABC526XYZ,off-duty,off-duty
D_212,Driver_95,ABC682XYZ,available,available
D_213,Driver_7,ABC175XYZ,off-duty,off-duty
D_214,Driver_42,ABC336XYZ,off-duty,off-duty
D_215,Driver_56,ABC422XYZ,off-duty,off-duty
D_216,Driver_28,ABC623XYZ,off-duty,off-duty
D_217,Driver_53,ABC515XYZ,off-duty,off-duty
D_218,Driver_22,ABC966XYZ,available,available
D_219,Driver_37,ABC931XYZ,off-duty,off-duty
D_220,Driver_94,ABC413XYZ,on-duty,on-duty
D_221,Driver_31,ABC328XYZ,available,available
D_222,Driver_9,ABC729XYZ,on-duty,on-duty
D_223,Driver_90,ABC886XYZ,off-duty,off-duty
D_224,Driver_8,ABC935XYZ,on-duty,on-duty
D_225,Driver_11,ABC543XYZ,on-duty,on-duty
D_226,Driver_47,ABC189XYZ,available,available
D_227,Driver_76,ABC780XYZ,available,available
D_228,Driver_41,ABC839XYZ,on-duty,on-duty
D_229,Driver_38,ABC521XYZ,off-duty,off-duty
D_230,Driver_72,ABC973XYZ,available,available
D_231,Driver_100,ABC106XYZ,off-duty,off-duty
D_232,Driver_95,ABC107XYZ,available,available
D_233,Driver_51,ABC913XYZ,available,available
D_234,Driver_86,ABC200XYZ,available,available
D_235,Driver_49,ABC581XYZ,off-duty,off-duty
D_236,Driver_82,ABC503XYZ,off-duty,off-duty
D_237,Driver_39,ABC844XYZ,off-duty,off-duty
D_238,Driver_24,ABC113XYZ,on-duty,on-duty
D_239,Driver_1,ABC514XYZ,off-duty,off-duty
D_240,Driver_2,ABC745XYZ,off-duty,off-duty
D_241,Driver_2,ABC547XYZ,on-duty,on-duty
D_242,Driver_51,ABC914XYZ,off-duty,off-duty
D_243,Driver_14,ABC757XYZ,available,available
D_244,Driver_7,ABC147XYZ,on-duty,on-duty
D_245,Driver_13,ABC175XYZ,available,available
D_246,Driver_16,ABC738XYZ,off-duty,off-duty
D_247,Driver_84,ABC309XYZ,on-duty,on-duty
D_248,Driver_40,ABC790XYZ,available,available
D_249,Driver_94,ABC843XYZ,available,available
D_250,Driver_34,ABC347XYZ,on-duty,on-duty
D_251,Driver_38,ABC408XYZ,available,available
D_252,Driver_5,ABC611XYZ,off-duty,off-duty
D_253,Driver_42,ABC284XYZ,on-duty,on-duty
D_254,Driver_14,ABC660XYZ,on-duty,on-duty
D_255,Driver_69,ABC690XYZ,on-duty,on-duty
D_256,Driver_81,ABC424XYZ,off-duty,off-duty
D_257,Driver_69,ABC435XYZ,off-duty,off-duty
D_258,Driver_71,ABC258XYZ,off-duty,off-duty
D_259,Driver_100,ABC796XYZ,available,available
D_260,Driver_94,ABC859XYZ,available,available
D_261,Driver_29,ABC652XYZ,available,available
D_262,Driver_57,ABC126XYZ,available,available
D_263,Driver_33,ABC744XYZ,on-duty,on-duty
D_264,Driver_91,ABC292XYZ,off-duty,off-duty
D_265,Driver_64,ABC379XYZ,available,available
D_266,Driver_10,ABC376XYZ,available,available
D_267,Driver_73,ABC208XYZ,available,available
D_268,Driver_61,ABC760XYZ,on-duty,on-duty
D_269,Driver_68,ABC578XYZ,off-duty,off-duty
D_270,Driver_2,ABC345XYZ,off-duty,off-duty
D_271,Driver_53,ABC980XYZ,on-duty,on-duty
D_272,Driver_77,ABC968XYZ,on-duty,on-duty
D_273,Driver_56,ABC730XYZ,off-duty,off-duty
D_274,Driver_12,ABC998XYZ,off-duty,off-duty
D_275,Driver_43,ABC328XYZ,available,available
D_276,Driver_56,ABC800XYZ,off-duty,off-duty
D_277,Driver_82,ABC925XYZ,on-duty,on-duty
D_278,Driver_4,ABC441XYZ,on-duty,on-duty
D_279,Driver_51,ABC115XYZ,off-duty,off-duty
D_280,Driver_23,ABC320XYZ,on-duty,on-duty
D_281,Driver_32,ABC998XYZ,on-duty,on-duty
D_282,Driver_56,ABC386XYZ,on-duty,on-duty
D_283,Driver_49,ABC926XYZ,off-duty,off-duty
D_284,Driver_95,ABC218XYZ,available,available
D_285,Driver_14,ABC887XYZ,available,available
D_286,Driver_97,ABC235XYZ,available,available
D_287,Driver_45,ABC440XYZ,on-duty,on-duty
D_288,Driver_66,ABC257XYZ,on-duty,on-duty
D_289,Driver_100,ABC382XYZ,off-duty,off-duty
D_290,Driver_88,ABC864XYZ,available,available
D_291,Driver_84,ABC975XYZ,on-duty,on-duty
D_292,Driver_87,ABC505XYZ,available,available
D_293,Driver_57,ABC551XYZ,on-duty,on-duty
D_294,Driver_3,ABC248XYZ,off-duty,off-duty
D_295,Driver_54,ABC666XYZ,available,available
D_296,Driver_92,ABC854XYZ,available,available
D_297,Driver_29,ABC636XYZ,off-duty,off-duty
D_298,Driver_90,ABC339XYZ,available,available
D_299,Driver_82,ABC627XYZ,on-duty,on-duty
D_300,Driver_77,ABC323XYZ,available,available
D_301,Driver_37,ABC936XYZ,on-duty,on-duty
D_302,Driver_57,ABC935XYZ,off-duty,off-duty
D_303,Driver_4,ABC398XYZ,available,available
D_304,Driver_11,ABC458XYZ,off-duty,off-duty
D_305,Driver_86,ABC470XYZ,on-duty,on-duty
D_306,Driver_35,ABC126XYZ,available,available
D_307,Driver_11,ABC806XYZ,on-duty,on-duty
D_308,Driver_14,ABC973XYZ,off-duty,off-duty
D_309,Driver_58,ABC779XYZ,available,available
D_310,Driver_29,ABC197XYZ,off-duty,off-duty
D_311,Driver_58,ABC751XYZ,off-duty,off-duty
D_312,Driver_47,ABC605XYZ,on-duty,on-duty
D_313,Driver_53,ABC877XYZ,available,available
D_314,Driver_8,ABC325XYZ,off-duty,off-duty
D_315,Driver_20,ABC152XYZ,on-duty,on-duty
D_316,Driver_57,ABC477XYZ,off-duty,off-duty
D_317,Driver_25,ABC507XYZ,available,available
D_318,Driver_19,ABC900XYZ,off-duty,off-duty
D_319,Driver_24,ABC738XYZ,on-duty,on-duty
D_320,Driver_28,ABC824XYZ,off-duty,off-duty
D_321,Driver_8,ABC383XYZ,available,available
D_322,Driver_47,ABC403XYZ,on-duty,on-duty
D_323,Driver_60,ABC650XYZ,off-duty,off-duty
D_324,Driver_38,ABC815XYZ,on-duty,on-duty
D_325,Driver_6,ABC889XYZ,on-duty,on-duty
D_326,Driver_89,ABC144XYZ,off-duty,off-duty
D_327,Driver_20,ABC613XYZ,on-duty,on-duty
D_328,Driver_99,ABC577XYZ,off-duty,off-duty
D_329,Driver_5,ABC992XYZ,on-duty,on-duty
D_330,Driver_27,ABC593XYZ,off-duty,off-duty
D_331,Driver_15,ABC663XYZ,on-duty,on-duty
D_332,Driver_61,ABC252XYZ,on-duty,on-duty
D_333,Driver_51,ABC298XYZ,on-duty,on-duty
D_334,Driver_74,ABC727XYZ,available,available
D_335,Driver_93,ABC800XYZ,available,available
D_336,Driver_98,ABC524XYZ,on-duty,on-duty
D_337,Driver_77,ABC926XYZ,available,available
D_338,Driver_12,ABC959XYZ,on-duty,on-duty
D_339,Driver_30,ABC702XYZ,on-duty,on-duty
D_340,Driver_8,ABC959XYZ,on-duty,on-duty
D_341,Driver_41,ABC512XYZ,on-duty,on-duty
D_342,Driver_72,ABC542XYZ,off-duty,off-duty
D_343,Driver_65,ABC692XYZ,available,available
D_344,Driver_12,ABC987XYZ,off-duty,off-duty
D_345,Driver_91,ABC481XYZ,on-duty,on-duty
D_346,Driver_63,ABC752XYZ,available,available
D_347,Driver_10,ABC104XYZ,on-duty,on-duty
D_348,Driver_23,ABC767XYZ,on-duty,on-duty
D_349,Driver_54,ABC664XYZ,off-duty,off-duty
D_350,Driver_5,ABC616XYZ,available,available
D_351,Driver_21,ABC380XYZ,available,available
D_352,Driver_11,ABC869XYZ,on-duty,on-duty
D_353,Driver_74,ABC257XYZ,on-duty,on-duty
D_354,Driver_2,ABC963XYZ,on-duty,on-duty
D_355,Driver_60,ABC329XYZ,on-duty,on-duty
D_356,Driver_49,ABC905XYZ,available,available
D_357,Driver_59,ABC978XYZ,on-duty,on-duty
D_358,Driver_25,ABC273XYZ,available,available
D_359,Driver_66,ABC249XYZ,off-duty,off-duty
D_360,Driver_87,ABC836XYZ,available,available
D_361,Driver_80,ABC728XYZ,on-duty,on-duty
D_362,Driver_40,ABC459XYZ,off-duty,off-duty
D_363,Driver_53,ABC685XYZ,available,available
D_364,Driver_32,ABC412XYZ,available,available
D_365,Driver_43,ABC112XYZ,on-duty,on-duty
D_366,Driver_7,ABC799XYZ,available,available
D_367,Driver_70,ABC136XYZ,available,available
D_368,Driver_57,ABC414XYZ,off-duty,off-duty
D_369,Driver_79,ABC224XYZ,available,available
D_370,Driver_33,ABC131XYZ,off-duty,off-duty
D_371,Driver_15,ABC710XYZ,off-duty,off-duty
D_372,Driver_70,ABC105XYZ,off-duty,off-duty
D_373,Driver_2,ABC997XYZ,off-duty,off-duty
D_374,Driver_68,ABC829XYZ,on-duty,on-duty
D_375,Driver_97,ABC825XYZ,off-duty,off-duty
D_376,Driver_90,ABC526XYZ,off-duty,off-duty
D_377,Driver_72,ABC671XYZ,available,available
D_378,Driver_50,ABC272XYZ,on-duty,on-duty
D_379,Driver_17,ABC316XYZ,on-duty,on-duty
D_380,Driver_12,ABC175XYZ,on-duty,on-duty
D_381,Driver_71,ABC881XYZ,off-duty,off-duty
D_382,Driver_40,ABC914XYZ,on-duty,on-duty
D_383,Driver_11,ABC666XYZ,on-duty,on-duty
D_384,Driver_83,ABC128XYZ,available,available
D_385,Driver_9,ABC212XYZ,on-duty,on-duty
D_386,Driver_33,ABC600XYZ,on-duty,on-duty
D_387,Driver_61,ABC288XYZ,available,available
D_388,Driver_81,ABC635XYZ,on-duty,on-duty
D_389,Driver_89,ABC360XYZ,on-duty,on-duty
D_390,Driver_15,ABC369XYZ,off-duty,off-duty
D_391,Driver_3,ABC924XYZ,available,available
D_392,Driver_89,ABC538XYZ,available,available
D_393,Driver_74,ABC236XYZ,off-duty,off-duty
D_394,Driver_10,ABC152XYZ,off-duty,off-duty
D_395,Driver_44,ABC568XYZ,on-duty,on-duty
D_396,Driver_20,ABC287XYZ,available,available
D_397,Driver_69,ABC358XYZ,available,available
D_398,Driver_93,ABC766XYZ,available,available
D_399,Driver_70,ABC967XYZ,available,available
D_400,Driver_34,ABC204XYZ,available,available
D_401,Driver_15,ABC637XYZ,on-duty,on-duty
D_402,Driver_59,ABC698XYZ,available,available
D_403,Driver_100,ABC266XYZ,on-duty,on-duty
D_404,Driver_96,ABC937XYZ,available,available
D_405,Driver_94,ABC595XYZ,off-duty,off-duty
D_406,Driver_95,ABC670XYZ,available,available
D_407,Driver_99,ABC877XYZ,available,available
D_408,Driver_77,ABC569XYZ,available,available
D_409,Driver_60,ABC893XYZ,on-duty,on-duty
D_410,Driver_15,ABC406XYZ,off-duty,off-duty
D_411,Driver_36,ABC965XYZ,available,available
D_412,Driver_41,ABC262XYZ,off-duty,off-duty
D_413,Driver_86,ABC654XYZ,off-duty,off-duty
D_414,Driver_16,ABC309XYZ,available,available
D_415,Driver_83,ABC437XYZ,available,available
D_416,Driver_66,ABC809XYZ,on-duty,on-duty
D_417,Driver_97,ABC887XYZ,on-duty,on-duty
D_418,Driver_9,ABC258XYZ,on-duty,on-duty
D_419,Driver_59,ABC639XYZ,off-duty,off-duty
D_420,Driver_33,ABC299XYZ,available,available
D_421,Driver_16,ABC860XYZ,off-duty,off-duty
D_422,Driver_26,ABC118XYZ,off-duty,off-duty
D_423,Driver_58,ABC820XYZ,off-duty,off-duty
D_424,Driver_88,ABC511XYZ,available,available
D_425,Driver_78,ABC871XYZ,off-duty,off-duty
D_426,Driver_67,ABC951XYZ,off-duty,off-duty
D_427,Driver_3,ABC583XYZ,on-duty,on-duty
D_428,Driver_1,ABC176XYZ,off-duty,off-duty
D_429,Driver_55,ABC962XYZ,available,available
D_430,Driver_61,ABC763XYZ,on-duty,on-duty
D_431,Driver_98,ABC798XYZ,on-duty,on-duty
D_432,Driver_23,ABC728XYZ,off-duty,off-duty
D_433,Driver_68,ABC272XYZ,on-duty,on-duty
D_434,Driver_92,ABC832XYZ,off-duty,off-duty
D_435,Driver_88,ABC219XYZ,on-duty,on-duty
D_436,Driver_73,ABC241XYZ,off-duty,off-duty
D_437,Driver_56,ABC769XYZ,on-duty,on-duty
D_438,Driver_96,ABC495XYZ,on-duty,on-duty
D_439,Driver_91,ABC860XYZ,available,available
D_440,Driver_17,ABC188XYZ,on-duty,on-duty
D_441,Driver_80,ABC994XYZ,on-duty,on-duty
D_442,Driver_16,ABC656XYZ,available,available
D_443,Driver_87,ABC719XYZ,on-duty,on-duty
D_444,Driver_80,ABC470XYZ,available,available
D_445,Driver_52,ABC708XYZ,off-duty,off-duty
D_446,Driver_73,ABC278XYZ,available,available
D_447,Driver_85,ABC860XYZ,available,available
D_448,Driver_24,ABC492XYZ,on-duty,on-duty
D_449,Driver_20,ABC926XYZ,off-duty,off-duty
D_450,Driver_19,ABC180XYZ,off-duty,off-duty
D_451,Driver_93,ABC308XYZ,available,available
D_452,Driver_46,ABC851XYZ,on-duty,on-duty
D_453,Driver_2,ABC169XYZ,on-duty,on-duty
D_454,Driver_60,ABC909XYZ,available,available
D_455,Driver_76,ABC194XYZ,available,available
D_456,Driver_19,ABC394XYZ,on-duty,on-duty
D_457,Driver_55,ABC539XYZ,available,available
D_458,Driver_81,ABC881XYZ,on-duty,on-duty
D_459,Driver_12,ABC430XYZ,available,available
D_460,Driver_12,ABC106XYZ,available,available
D_461,Driver_19,ABC882XYZ,off-duty,off-duty
D_462,Driver_48,ABC436XYZ,off-duty,off-duty
D_463,Driver_13,ABC542XYZ,available,available
D_464,Driver_95,ABC612XYZ,off-duty,off-duty
D_465,Driver_92,ABC232XYZ,off-duty,off-duty
D_466,Driver_42,ABC886XYZ,on-duty,on-duty
D_467,Driver_40,ABC775XYZ,off-duty,off-duty
D_468,Driver_45,ABC991XYZ,off-duty,off-duty
D_469,Driver_89,ABC498XYZ,on-duty,on-duty
D_470,Driver_77,ABC293XYZ,on-duty,on-duty
D_471,Driver_72,ABC828XYZ,available,available
D_472,Driver_73,ABC927XYZ,off-duty,off-duty
D_473,Driver_58,ABC867XYZ,on-duty,on-duty
D_474,Driver_74,ABC701XYZ,available,available
D_475,Driver_45,ABC145XYZ,available,available
D_476,Driver_12,ABC173XYZ,available,available
D_477,Driver_52,ABC224XYZ,on-duty,on-duty
D_478,Driver_79,ABC530XYZ,on-duty,on-duty
D_479,Driver_69,ABC863XYZ,on-duty,on-duty
D_480,Driver_84,ABC490XYZ,off-duty,off-duty
D_481,Driver_8,ABC639XYZ,available,available
D_482,Driver_42,ABC964XYZ,on-duty,on-duty
D_483,Driver_40,ABC463XYZ,on-duty,on-duty
D_484,Driver_41,ABC244XYZ,available,available
D_485,Driver_76,ABC109XYZ,off-duty,off-duty
D_486,Driver_79,ABC346XYZ,off-duty,off-duty
D_487,Driver_24,ABC770XYZ,on-duty,on-duty
D_488,Driver_56,ABC673XYZ,off-duty,off-duty
D_489,Driver_6,ABC600XYZ,off-duty,off-duty
D_490,Driver_91,ABC913XYZ,on-duty,on-duty
D_491,Driver_12,ABC516XYZ,available,available
D_492,Driver_10,ABC679XYZ,available,available
D_493,Driver_46,ABC296XYZ,available,available
D_494,Driver_24,ABC463XYZ,off-duty,off-duty
D_495,Driver_75,ABC869XYZ,available,available
D_496,Driver_28,ABC476XYZ,available,available
D_497,Driver_93,ABC866XYZ,off-duty,off-duty
D_498,Driver_47,ABC222XYZ,available,available
D_499,Driver_90,ABC825XYZ,available,available
D_500,Driver_92,ABC429XYZ,available,available
D_501,Driver_19,ABC746XYZ,available,available
D_502,Driver_99,ABC132XYZ,available,available
D_503,Driver_21,ABC247XYZ,on-duty,on-duty
D_504,Driver_70,ABC671XYZ,available,available
D_505,Driver_78,ABC419XYZ,available,available
D_506,Driver_37,ABC242XYZ,available,available
D_507,Driver_83,ABC320XYZ,available,available
D_508,Driver_35,ABC240XYZ,on-duty,on-duty
D_509,Driver_63,ABC844XYZ,on-duty,on-duty
D_510,Driver_76,ABC209XYZ,off-duty,off-duty
D_511,Driver_62,ABC551XYZ,on-duty,on-duty
D_512,Driver_2,ABC212XYZ,available,available
D_513,Driver_31,ABC317XYZ,available,available
D_514,Driver_25,ABC242XYZ,off-duty,off-duty
D_515,Driver_76,ABC631XYZ,available,available
D_516,Driver_24,ABC387XYZ,available,available
D_517,Driver_27,ABC399XYZ,on-duty,on-duty
D_518,Driver_87,ABC888XYZ,available,available
D_519,Driver_90,ABC843XYZ,on-duty,on-duty
D_520,Driver_22,ABC535XYZ,off-duty,off-duty
