id,status,order_id,product,quantity,status
O_70,shipped,6375,Product_5,8,shipped
O_71,pending,9418,Product_15,3,pending
O_72,pending,5079,Product_3,5,pending
O_73,pending,4851,Product_9,1,pending
O_74,pending,6106,Product_15,8,pending
O_75,shipped,3217,Product_2,1,shipped
O_76,shipped,1761,Product_14,8,shipped
O_77,delivered,2870,Product_16,3,delivered
O_78,delivered,7068,Product_19,10,delivered
O_79,shipped,7992,Product_7,10,shipped
O_80,shipped,5216,Product_19,6,shipped
O_81,pending,5921,Product_18,2,pending
O_82,pending,6574,Product_17,9,pending
O_83,delivered,8397,Product_5,4,delivered
O_84,pending,2263,Product_12,6,pending
O_85,shipped,6249,Product_8,5,shipped
O_86,pending,5764,Product_12,5,pending
O_87,pending,3292,Product_15,3,pending
O_88,delivered,7144,Product_17,2,delivered
O_89,delivered,4690,Product_3,8,delivered
O_90,pending,4188,Product_19,3,pending
O_91,shipped,3515,Product_15,7,shipped
O_92,pending,4149,Product_2,3,pending
O_93,shipped,9216,Product_8,2,shipped
O_94,delivered,2959,Product_17,5,delivered
O_95,shipped,5951,Product_5,4,shipped
O_96,shipped,5634,Product_16,9,shipped
O_97,delivered,5910,Product_20,3,delivered
O_98,delivered,6631,Product_13,9,delivered
O_99,pending,7258,Product_14,2,pending
O_100,shipped,9745,Product_13,9,shipped
O_101,shipped,4470,Product_6,7,shipped
O_102,delivered,7857,Product_18,4,delivered
O_103,shipped,6512,Product_1,1,shipped
O_104,delivered,8761,Product_14,8,delivered
O_105,pending,3612,Product_11,2,pending
O_106,delivered,8086,Product_19,3,delivered
O_107,shipped,4444,Product_1,7,shipped
O_108,delivered,6225,Product_3,5,delivered
O_109,shipped,5061,Product_13,4,shipped
O_110,shipped,1381,Product_18,4,shipped
O_111,shipped,7756,Product_4,10,shipped
O_112,delivered,4604,Product_8,9,delivered
O_113,shipped,8116,Product_10,7,shipped
O_114,delivered,8388,Product_13,2,delivered
O_115,pending,3394,Product_19,4,pending
O_116,shipped,8470,Product_18,1,shipped
O_117,delivered,4704,Product_9,7,delivered
O_118,shipped,2387,Product_2,7,shipped
O_119,shipped,3548,Product_8,7,shipped
O_120,pending,4738,Product_14,10,pending
O_121,delivered,2091,Product_14,3,delivered
O_122,pending,7005,Product_3,9,pending
O_123,shipped,2485,Product_16,4,shipped
O_124,delivered,9298,Product_20,2,delivered
O_125,pending,2263,Product_4,1,pending
O_126,shipped,4312,Product_16,4,shipped
O_127,shipped,9431,Product_7,1,shipped
O_128,shipped,1139,Product_14,1,shipped
O_129,pending,3656,Product_8,6,pending
O_130,pending,3587,Product_11,10,pending
O_131,delivered,5324,Product_18,8,delivered
O_132,delivered,3112,Product_9,5,delivered
O_133,pending,2959,Product_13,8,pending
O_134,pending,1776,Product_18,3,pending
O_135,delivered,6887,Product_8,9,delivered
O_136,shipped,6574,Product_3,8,shipped
O_137,shipped,7074,Product_1,6,shipped
O_138,shipped,7292,Product_20,6,shipped
O_139,pending,7741,Product_2,2,pending
O_140,shipped,4999,Product_12,10,shipped
O_141,pending,4819,Product_20,9,pending
O_142,delivered,5248,Product_20,10,delivered
O_143,pending,3480,Product_3,8,pending
O_144,delivered,8993,Product_17,2,delivered
O_145,pending,5411,Product_10,10,pending
O_146,delivered,7761,Product_13,10,delivered
O_147,shipped,4667,Product_14,7,shipped
O_148,delivered,9294,Product_18,3,delivered
O_149,shipped,3609,Product_20,3,shipped
O_150,delivered,6994,Product_10,6,delivered
O_151,delivered,6549,Product_11,9,delivered
O_152,delivered,6623,Product_14,7,delivered
O_153,shipped,1848,Product_2,1,shipped
O_154,pending,9002,Product_14,9,pending
O_155,shipped,1812,Product_13,1,shipped
O_156,shipped,1572,Product_13,7,shipped
O_157,shipped,5952,Product_15,6,shipped
O_158,shipped,1023,Product_6,6,shipped
O_159,pending,1750,Product_17,10,pending
O_160,pending,7504,Product_5,1,pending
O_161,shipped,8514,Product_4,2,shipped
O_162,pending,9207,Product_4,9,pending
O_163,shipped,6913,Product_14,5,shipped
O_164,pending,8151,Product_15,7,pending
O_165,shipped,6453,Product_17,1,shipped
O_166,pending,9905,Product_17,9,pending
O_167,shipped,7081,Product_13,8,shipped
O_168,pending,3774,Product_9,5,pending
O_169,shipped,9389,Product_9,6,shipped
O_170,delivered,8678,Product_6,1,delivered
O_171,shipped,7737,Product_20,8,shipped
O_172,delivered,8361,Product_6,7,delivered
O_173,pending,5911,Product_1,6,pending
O_174,pending,3731,Product_13,9,pending
O_175,shipped,7957,Product_20,8,shipped
O_176,delivered,4067,Product_10,8,delivered
O_177,delivered,7718,Product_6,10,delivered
O_178,shipped,8408,Product_16,10,shipped
O_179,pending,4658,Product_9,9,pending
O_180,shipped,6250,Product_6,1,shipped
O_181,shipped,8247,Product_2,5,shipped
O_182,pending,7196,Product_3,10,pending
O_183,shipped,9203,Product_3,8,shipped
O_184,pending,1429,Product_19,6,pending
O_185,shipped,6482,Product_13,10,shipped
O_186,pending,2695,Product_16,9,pending
O_187,shipped,5290,Product_7,1,shipped
O_188,delivered,8088,Product_5,5,delivered
O_189,shipped,7830,Product_7,4,shipped
O_190,delivered,2441,Product_9,7,delivered
O_191,delivered,5597,Product_2,2,delivered
O_192,delivered,7788,Product_14,5,delivered
O_193,shipped,1439,Product_11,9,shipped
O_194,shipped,9345,Product_20,5,shipped
O_195,pending,4254,Product_3,9,pending
O_196,pending,8047,Product_2,6,pending
O_197,shipped,1516,Product_10,9,shipped
O_198,pending,6523,Product_3,4,pending
O_199,pending,4844,Product_6,4,pending
O_200,delivered,6794,Product_20,10,delivered
O_201,pending,8200,Product_12,10,pending
O_202,pending,4429,Product_13,7,pending
O_203,delivered,1659,Product_13,8,delivered
O_204,pending,5032,Product_13,3,pending
O_205,delivered,8513,Product_19,5,delivered
O_206,delivered,3147,Product_2,7,delivered
O_207,shipped,3618,Product_19,10,shipped
O_208,delivered,5703,Product_20,9,delivered
O_209,delivered,5489,Product_4,4,delivered
O_210,pending,2657,Product_15,8,pending
O_211,shipped,6250,Product_18,2,shipped
O_212,shipped,8699,Product_15,5,shipped
O_213,pending,4080,Product_20,4,pending
O_214,shipped,9138,Product_4,10,shipped
O_215,pending,2685,Product_15,8,pending
O_216,pending,8409,Product_1,3,pending
O_217,shipped,2640,Product_7,7,shipped
O_218,shipped,9625,Product_8,5,shipped
O_219,shipped,8519,Product_6,2,shipped
O_220,delivered,9846,Product_10,8,delivered
O_221,delivered,2318,Product_10,4,delivered
O_222,pending,3243,Product_11,4,pending
O_223,shipped,5306,Product_2,2,shipped
O_224,shipped,1623,Product_17,6,shipped
O_225,delivered,1664,Product_20,7,delivered
O_226,pending,8438,Product_8,7,pending
O_227,shipped,4107,Product_20,3,shipped
O_228,pending,3958,Product_4,9,pending
O_229,pending,7205,Product_16,7,pending
O_230,shipped,4403,Product_14,1,shipped
O_231,shipped,5064,Product_9,8,shipped
O_232,shipped,1722,Product_15,5,shipped
O_233,shipped,8861,Product_15,8,shipped
O_234,delivered,3375,Product_1,2,delivered
O_235,pending,5960,Product_15,1,pending
O_236,pending,9951,Product_10,8,pending
O_237,pending,1285,Product_3,8,pending
O_238,shipped,5108,Product_6,4,shipped
O_239,pending,4979,Product_4,4,pending
O_240,delivered,6738,Product_6,8,delivered
O_241,delivered,9251,Product_19,4,delivered
O_242,delivered,1277,Product_12,4,delivered
O_243,shipped,6632,Product_12,6,shipped
O_244,pending,3858,Product_10,8,pending
O_245,shipped,3527,Product_6,5,shipped
O_246,delivered,6164,Product_4,8,delivered
O_247,pending,3612,Product_12,7,pending
O_248,delivered,7281,Product_18,2,delivered
O_249,pending,8962,Product_18,7,pending
O_250,delivered,2828,Product_13,7,delivered
O_251,delivered,2187,Product_1,3,delivered
O_252,shipped,8661,Product_5,9,shipped
O_253,delivered,5593,Product_1,7,delivered
O_254,delivered,5897,Product_2,10,delivered
O_255,pending,7894,Product_2,2,pending
O_256,shipped,9203,Product_5,7,shipped
O_257,delivered,3227,Product_18,3,delivered
O_258,delivered,2060,Product_13,8,delivered
O_259,pending,8827,Product_12,2,pending
O_260,shipped,5678,Product_4,1,shipped
O_261,pending,5530,Product_16,2,pending
O_262,shipped,5538,Product_17,1,shipped
O_263,pending,3321,Product_12,1,pending
O_264,shipped,2272,Product_8,6,shipped
O_265,shipped,1581,Product_15,8,shipped
O_266,pending,9170,Product_5,9,pending
O_267,shipped,4325,Product_10,2,shipped
O_268,delivered,1195,Product_4,3,delivered
O_269,pending,3331,Product_19,8,pending
O_270,delivered,1487,Product_2,5,delivered
O_271,shipped,4509,Product_17,1,shipped
O_272,shipped,2437,Product_7,9,shipped
O_273,shipped,5922,Product_20,4,shipped
O_274,pending,5854,Product_9,1,pending
O_275,pending,8251,Product_6,6,pending
O_276,delivered,8852,Product_5,6,delivered
O_277,pending,2524,Product_20,6,pending
O_278,delivered,8969,Product_2,1,delivered
O_279,pending,2983,Product_14,4,pending
O_280,shipped,5201,Product_10,4,shipped
O_281,delivered,9975,Product_18,6,delivered
O_282,pending,4022,Product_14,6,pending
O_283,shipped,4765,Product_11,4,shipped
O_284,pending,7760,Product_14,8,pending
O_285,pending,1437,Product_9,7,pending
O_286,pending,5005,Product_10,7,pending
O_287,pending,4864,Product_17,6,pending
O_288,shipped,4429,Product_8,10,shipped
O_289,pending,7000,Product_17,9,pending
O_290,shipped,8710,Product_1,10,shipped
O_291,delivered,9266,Product_13,6,delivered
O_292,delivered,3641,Product_18,5,delivered
O_293,delivered,1738,Product_11,10,delivered
O_294,delivered,9543,Product_8,1,delivered
O_295,shipped,9042,Product_1,5,shipped
O_296,delivered,5723,Product_15,9,delivered
O_297,shipped,9411,Product_15,7,shipped
O_298,shipped,4491,Product_1,6,shipped
O_299,pending,3536,Product_17,4,pending
O_300,shipped,8285,Product_1,3,shipped
O_301,pending,2671,Product_13,8,pending
O_302,pending,5679,Product_18,3,pending
O_303,delivered,8702,Product_5,5,delivered
O_304,delivered,5196,Product_20,4,delivered
O_305,pending,9434,Product_14,10,pending
O_306,pending,8062,Product_15,5,pending
O_307,shipped,1223,Product_10,2,shipped
O_308,pending,8780,Product_16,1,pending
O_309,delivered,2706,Product_16,1,delivered
O_310,shipped,1143,Product_5,3,shipped
O_311,shipped,1030,Product_9,8,shipped
O_312,delivered,8584,Product_1,8,delivered
O_313,delivered,1878,Product_10,10,delivered
O_314,shipped,8488,Product_3,8,shipped
O_315,shipped,9591,Product_4,10,shipped
O_316,shipped,8316,Product_3,5,shipped
O_317,pending,7822,Product_14,2,pending
O_318,shipped,6087,Product_18,7,shipped
O_319,pending,4787,Product_19,9,pending
O_320,pending,7199,Product_15,6,pending
O_321,pending,7681,Product_17,6,pending
O_322,delivered,4296,Product_1,4,delivered
O_323,delivered,5734,Product_12,1,delivered
O_324,pending,9483,Product_6,6,pending
O_325,shipped,7050,Product_14,3,shipped
O_326,pending,4473,Product_19,7,pending
O_327,shipped,1366,Product_2,7,shipped
O_328,pending,5746,Product_7,6,pending
O_329,pending,4428,Product_10,5,pending
O_330,pending,4555,Product_5,8,pending
O_331,shipped,7399,Product_5,10,shipped
O_332,shipped,3744,Product_17,9,shipped
O_333,delivered,8962,Product_18,10,delivered
O_334,delivered,7578,Product_2,5,delivered
O_335,delivered,6592,Product_4,2,delivered
O_336,pending,1095,Product_9,3,pending
O_337,pending,4012,Product_18,7,pending
O_338,delivered,5417,Product_17,10,delivered
O_339,pending,9350,Product_5,3,pending
O_340,pending,5979,Product_7,1,pending
O_341,delivered,1416,Product_18,9,delivered
O_342,delivered,8740,Product_8,1,delivered
O_343,delivered,9148,Product_17,1,delivered
O_344,delivered,8753,Product_18,3,delivered
O_345,pending,5519,Product_3,10,pending
O_346,pending,5921,Product_20,10,pending
O_347,shipped,7509,Product_4,3,shipped
O_348,pending,4023,Product_19,8,pending
O_349,delivered,8153,Product_13,3,delivered
O_350,delivered,3995,Product_14,4,delivered
O_351,delivered,2114,Product_9,4,delivered
O_352,shipped,2985,Product_16,3,shipped
O_353,shipped,5516,Product_6,7,shipped
O_354,shipped,1235,Product_12,1,shipped
O_355,delivered,2111,Product_15,2,delivered
O_356,delivered,4938,Product_20,1,delivered
O_357,shipped,2247,Product_8,2,shipped
O_358,delivered,6597,Product_20,8,delivered
O_359,pending,8619,Product_11,5,pending
O_360,shipped,7044,Product_17,10,shipped
O_361,delivered,7277,Product_8,9,delivered
O_362,delivered,4437,Product_18,3,delivered
O_363,shipped,6389,Product_6,10,shipped
O_364,shipped,4974,Product_5,9,shipped
O_365,pending,3005,Product_9,8,pending
O_366,delivered,2518,Product_15,5,delivered
O_367,shipped,4084,Product_6,2,shipped
O_368,shipped,6895,Product_6,9,shipped
O_369,delivered,3874,Product_20,3,delivered
O_370,shipped,2238,Product_13,5,shipped
O_371,shipped,9529,Product_16,10,shipped
O_372,delivered,7142,Product_7,1,delivered
O_373,shipped,8930,Product_14,8,shipped
O_374,delivered,8865,Product_1,10,delivered
O_375,delivered,7187,Product_10,9,delivered
O_376,shipped,8340,Product_13,5,shipped
O_377,delivered,6684,Product_14,9,delivered
O_378,shipped,7175,Product_18,5,shipped
O_379,shipped,7490,Product_2,8,shipped
O_380,delivered,5641,Product_11,1,delivered
O_381,shipped,6969,Product_2,1,shipped
O_382,delivered,4895,Product_6,4,delivered
O_383,pending,4336,Product_5,4,pending
O_384,shipped,7012,Product_5,5,shipped
O_385,shipped,8439,Product_12,7,shipped
O_386,pending,2951,Product_4,7,pending
O_387,shipped,1085,Product_16,8,shipped
O_388,delivered,6648,Product_20,9,delivered
O_389,delivered,3474,Product_14,6,delivered
O_390,pending,1420,Product_10,5,pending
O_391,delivered,5031,Product_4,9,delivered
O_392,pending,8652,Product_5,2,pending
O_393,shipped,7328,Product_1,10,shipped
O_394,pending,1668,Product_17,5,pending
O_395,delivered,2390,Product_9,2,delivered
O_396,shipped,6770,Product_17,9,shipped
O_397,pending,9016,Product_1,9,pending
O_398,pending,4552,Product_15,4,pending
O_399,pending,4105,Product_8,7,pending
O_400,pending,8857,Product_18,8,pending
O_401,shipped,2963,Product_4,6,shipped
O_402,delivered,1960,Product_1,3,delivered
O_403,delivered,6079,Product_13,7,delivered
O_404,pending,1148,Product_19,7,pending
O_405,delivered,6193,Product_3,2,delivered
O_406,shipped,5103,Product_17,8,shipped
O_407,shipped,4149,Product_12,4,shipped
O_408,shipped,2864,Product_4,3,shipped
O_409,shipped,2999,Product_7,10,shipped
O_410,pending,8402,Product_17,5,pending
O_411,pending,1675,Product_9,3,pending
O_412,shipped,6185,Product_13,4,shipped
O_413,delivered,2362,Product_11,6,delivered
O_414,shipped,3949,Product_14,1,shipped
O_415,pending,5736,Product_8,1,pending
O_416,delivered,8446,Product_1,4,delivered
O_417,shipped,9650,Product_16,8,shipped
O_418,pending,5511,Product_8,1,pending
O_419,delivered,4229,Product_4,1,delivered
O_420,shipped,4075,Product_3,10,shipped
O_421,delivered,9669,Product_14,4,delivered
O_422,pending,6902,Product_4,9,pending
O_423,delivered,3056,Product_18,3,delivered
O_424,pending,3601,Product_15,6,pending
O_425,delivered,4666,Product_4,7,delivered
O_426,delivered,2263,Product_17,9,delivered
O_427,shipped,5201,Product_2,7,shipped
O_428,pending,1094,Product_12,7,pending
O_429,delivered,5197,Product_7,5,delivered
O_430,pending,2522,Product_18,5,pending
O_431,delivered,2637,Product_7,7,delivered
O_432,pending,6929,Product_16,1,pending
O_433,pending,1250,Product_4,4,pending
O_434,pending,4887,Product_2,6,pending
O_435,delivered,8423,Product_15,6,delivered
O_436,delivered,4405,Product_7,8,delivered
O_437,delivered,7348,Product_12,8,delivered
O_438,shipped,2275,Product_4,9,shipped
O_439,pending,8599,Product_16,9,pending
O_440,shipped,6068,Product_17,5,shipped
O_441,pending,6827,Product_9,8,pending
O_442,delivered,2630,Product_3,6,delivered
O_443,shipped,6550,Product_3,9,shipped
O_444,shipped,5237,Product_19,7,shipped
O_445,delivered,7179,Product_3,1,delivered
O_446,delivered,9352,Product_4,5,delivered
O_447,pending,1538,Product_16,8,pending
O_448,delivered,4532,Product_8,7,delivered
O_449,shipped,9092,Product_8,6,shipped
O_450,shipped,2292,Product_17,5,shipped
O_451,delivered,2662,Product_15,5,delivered
O_452,delivered,7043,Product_13,5,delivered
O_453,shipped,4358,Product_15,10,shipped
O_454,delivered,8384,Product_18,4,delivered
O_455,delivered,3202,Product_20,3,delivered
O_456,delivered,3380,Product_17,10,delivered
O_457,shipped,5578,Product_1,5,shipped
O_458,delivered,4064,Product_16,1,delivered
O_459,pending,9375,Product_18,4,pending
O_460,shipped,7502,Product_20,10,shipped
O_461,pending,7317,Product_3,2,pending
O_462,shipped,3237,Product_6,9,shipped
O_463,pending,1946,Product_18,10,pending
O_464,pending,2271,Product_10,4,pending
O_465,shipped,8949,Product_15,4,shipped
O_466,delivered,8462,Product_18,5,delivered
O_467,pending,6795,Product_18,8,pending
O_468,delivered,3169,Product_14,7,delivered
O_469,pending,2145,Product_3,7,pending
O_470,shipped,3256,Product_12,9,shipped
O_471,pending,3742,Product_14,4,pending
O_472,shipped,5771,Product_10,1,shipped
O_473,shipped,5397,Product_2,6,shipped
O_474,delivered,4087,Product_9,5,delivered
O_475,pending,7366,Product_4,7,pending
O_476,shipped,8703,Product_7,8,shipped
O_477,delivered,6801,Product_16,3,delivered
O_478,delivered,5443,Product_18,3,delivered
O_479,delivered,7319,Product_15,7,delivered
O_480,shipped,3907,Product_17,2,shipped
O_481,pending,6517,Product_7,7,pending
O_482,pending,7523,Product_7,3,pending
O_483,delivered,9296,Product_6,9,delivered
O_484,pending,9373,Product_13,8,pending
O_485,delivered,4177,Product_10,9,delivered
O_486,shipped,6756,Product_2,6,shipped
O_487,delivered,5852,Product_12,7,delivered
O_488,pending,9211,Product_11,8,pending
O_489,pending,7450,Product_2,4,pending
O_490,pending,1301,Product_20,4,pending
O_491,pending,4027,Product_17,8,pending
O_492,shipped,4500,Product_8,7,shipped
O_493,pending,8605,Product_8,8,pending
O_494,delivered,5158,Product_15,10,delivered
O_495,shipped,6332,Product_8,10,shipped
O_496,pending,7828,Product_20,4,pending
O_497,delivered,8417,Product_9,3,delivered
O_498,delivered,7999,Product_6,6,delivered
O_499,shipped,4270,Product_5,4,shipped
O_500,pending,7900,Product_11,5,pending
O_501,pending,9497,Product_5,4,pending
O_502,shipped,5040,Product_6,3,shipped
O_503,shipped,4853,Product_11,3,shipped
O_504,shipped,4185,Product_16,4,shipped
O_505,pending,7266,Product_9,9,pending
O_506,delivered,7964,Product_13,7,delivered
O_507,delivered,2739,Product_18,10,delivered
O_508,delivered,8538,Product_9,6,delivered
O_509,delivered,8497,Product_16,7,delivered
O_510,shipped,7629,Product_12,8,shipped
O_511,delivered,5006,Product_1,2,delivered
O_512,delivered,6022,Product_13,3,delivered
O_513,shipped,1364,Product_8,1,shipped
O_514,pending,2248,Product_6,8,pending
O_515,pending,7558,Product_15,5,pending
O_516,shipped,9375,Product_19,3,shipped
O_517,shipped,4442,Product_3,1,shipped
O_518,pending,3521,Product_6,3,pending
O_519,shipped,2880,Product_11,2,shipped
O_520,delivered,6295,Product_7,1,delivered
O_521,pending,1268,Product_14,3,pending
O_522,shipped,6289,Product_4,7,shipped
O_523,pending,6011,Product_13,8,pending
O_524,pending,3363,Product_19,9,pending
O_525,pending,7435,Product_9,8,pending
O_526,delivered,6503,Product_12,6,delivered
O_527,delivered,6964,Product_16,10,delivered
O_528,shipped,6562,Product_15,4,shipped
O_529,delivered,1003,Product_11,3,delivered
O_530,pending,9583,Product_7,7,pending
O_531,pending,6007,Product_1,10,pending
O_532,pending,1388,Product_2,4,pending
O_533,shipped,9197,Product_9,6,shipped
O_534,shipped,2142,Product_8,8,shipped
O_535,shipped,5116,Product_6,8,shipped
O_536,shipped,4443,Product_2,6,shipped
O_537,shipped,5349,Product_19,2,shipped
O_538,shipped,9214,Product_13,10,shipped
O_539,shipped,2349,Product_2,6,shipped
O_540,shipped,8985,Product_16,3,shipped
O_541,shipped,8485,Product_6,4,shipped
O_542,shipped,6523,Product_1,2,shipped
O_543,shipped,3176,Product_5,6,shipped
O_544,shipped,3574,Product_14,6,shipped
O_545,pending,2578,Product_16,4,pending
O_546,pending,7480,Product_13,6,pending
O_547,pending,3627,Product_19,4,pending
O_548,delivered,9086,Product_14,8,delivered
O_549,shipped,7285,Product_18,7,shipped
O_550,pending,5206,Product_12,2,pending
O_551,delivered,3141,Product_6,2,delivered
O_552,delivered,4678,Product_3,1,delivered
O_553,pending,8279,Product_13,3,pending
O_554,pending,3608,Product_18,5,pending
O_555,shipped,6022,Product_1,8,shipped
O_556,delivered,1593,Product_6,7,delivered
O_557,pending,7875,Product_16,3,pending
O_558,shipped,5066,Product_4,7,shipped
O_559,pending,3456,Product_16,3,pending
O_560,delivered,9685,Product_9,9,delivered
O_561,shipped,6931,Product_16,4,shipped
O_562,pending,1934,Product_11,1,pending
O_563,pending,8718,Product_20,9,pending
O_564,pending,8152,Product_6,4,pending
O_565,delivered,4372,Product_2,5,delivered
O_566,shipped,4018,Product_14,9,shipped
O_567,shipped,7352,Product_15,4,shipped
O_568,pending,8802,Product_19,10,pending
O_569,shipped,8360,Product_3,3,shipped
O_570,shipped,9621,Product_2,7,shipped
O_571,shipped,3983,Product_14,10,shipped
O_572,shipped,8395,Product_14,2,shipped
O_573,pending,2991,Product_15,3,pending
O_574,shipped,1406,Product_8,2,shipped
O_575,pending,9828,Product_9,5,pending
O_576,delivered,2720,Product_16,5,delivered
O_577,shipped,1967,Product_6,9,shipped
O_578,pending,1988,Product_17,10,pending
O_579,shipped,8236,Product_13,1,shipped
O_580,delivered,4601,Product_8,10,delivered
O_581,shipped,4864,Product_7,2,shipped
O_582,shipped,2404,Product_11,1,shipped
O_583,shipped,7521,Product_2,6,shipped
O_584,pending,7538,Product_13,8,pending
O_585,shipped,3237,Product_15,7,shipped
O_586,shipped,7055,Product_13,8,shipped
O_587,pending,2419,Product_7,1,pending
O_588,pending,6372,Product_7,1,pending
O_589,delivered,8433,Product_7,9,delivered
O_590,pending,9431,Product_12,2,pending
O_591,delivered,7742,Product_1,4,delivered
O_592,pending,6361,Product_4,2,pending
O_593,pending,8521,Product_5,8,pending
O_594,pending,2818,Product_17,9,pending
O_595,shipped,3904,Product_10,9,shipped
O_596,pending,7912,Product_10,10,pending
O_597,shipped,2023,Product_17,5,shipped
O_598,pending,2365,Product_13,10,pending
O_599,delivered,4664,Product_10,8,delivered
O_600,shipped,7408,Product_3,3,shipped
O_601,pending,8966,Product_11,8,pending
O_602,pending,8808,Product_19,1,pending
O_603,shipped,8311,Product_10,1,shipped
O_604,pending,6426,Product_3,8,pending
O_605,delivered,9362,Product_8,6,delivered
O_606,pending,4269,Product_16,5,pending
O_607,pending,5995,Product_10,7,pending
O_608,delivered,4718,Product_4,2,delivered
O_609,shipped,8150,Product_3,2,shipped
O_610,pending,7770,Product_9,3,pending
O_611,delivered,2089,Product_3,4,delivered
O_612,pending,1962,Product_10,9,pending
O_613,delivered,3051,Product_5,7,delivered
O_614,delivered,2203,Product_20,8,delivered
O_615,pending,2830,Product_3,8,pending
O_616,delivered,3333,Product_14,9,delivered
O_617,delivered,7760,Product_7,3,delivered
O_618,pending,7837,Product_19,6,pending
O_619,delivered,8505,Product_5,10,delivered
O_620,delivered,3253,Product_12,6,delivered
O_621,pending,8926,Product_6,8,pending
O_622,delivered,6391,Product_18,2,delivered
O_623,pending,4357,Product_5,5,pending
O_624,delivered,5749,Product_14,2,delivered
O_625,shipped,1175,Product_12,2,shipped
O_626,shipped,1840,Product_19,7,shipped
O_627,pending,7452,Product_20,3,pending
O_628,shipped,8792,Product_1,5,shipped
O_629,pending,8930,Product_6,6,pending
O_630,shipped,8270,Product_20,3,shipped
O_631,delivered,9504,Product_6,7,delivered
O_632,pending,4514,Product_11,9,pending
O_633,pending,8965,Product_19,8,pending
O_634,shipped,1198,Product_20,4,shipped
O_635,delivered,4480,Product_9,4,delivered
O_636,pending,2449,Product_18,7,pending
O_637,pending,3915,Product_13,8,pending
O_638,pending,2226,Product_17,4,pending
O_639,delivered,2450,Product_14,4,delivered
O_640,delivered,6886,Product_11,2,delivered
O_641,pending,3399,Product_16,8,pending
O_642,shipped,1828,Product_19,3,shipped
O_643,delivered,2349,Product_15,10,delivered
O_644,delivered,7293,Product_15,5,delivered
O_645,shipped,4170,Product_8,8,shipped
O_646,delivered,6026,Product_2,8,delivered
O_647,shipped,9204,Product_9,2,shipped
O_648,delivered,7525,Product_18,7,delivered
O_649,delivered,6828,Product_4,10,delivered
O_650,delivered,7310,Product_20,3,delivered
O_651,delivered,9296,Product_12,9,delivered
O_652,pending,4228,Product_17,9,pending
O_653,shipped,7995,Product_3,8,shipped
O_654,pending,8656,Product_5,4,pending
